日付,駅名,乗車人員数
2019-05-25,さっぽろ（東豊線）,28031
2019-05-25,大通（南北線）,46539
2019-05-25,大通（東西線）,18810
2019-05-25,大通（東豊線）,13616
2019-05-25,すすきの,21193
2019-05-26,さっぽろ（南北線）,44240
2019-05-26,さっぽろ（東豊線）,21420
2019-05-26,大通（南北線）,37549
2019-05-26,大通（東西線）,15126
2019-05-26,大通（東豊線）,10418
2019-05-26,すすきの,16986
2019-05-27,さっぽろ（南北線）,54322
2019-05-27,さっぽろ（東豊線）,30534
2019-05-27,大通（南北線）,41306
2019-05-27,大通（東西線）,20618
2019-05-27,大通（東豊線）,14050
2019-05-27,すすきの,14505
2019-05-28,さっぽろ（南北線）,54198
2019-05-28,さっぽろ（東豊線）,32372
2019-05-28,大通（南北線）,41476
2019-05-28,大通（東西線）,20747
2019-05-28,大通（東豊線）,14924
2019-05-28,すすきの,14468
2019-05-29,さっぽろ（南北線）,55481
2019-05-29,さっぽろ（東豊線）,32796
2019-05-29,大通（南北線）,42985
2019-05-29,大通（東西線）,21581
2019-05-29,大通（東豊線）,15494
2019-05-29,すすきの,15351
2019-05-30,さっぽろ（南北線）,55391
2019-05-30,さっぽろ（東豊線）,32818
2019-05-30,大通（南北線）,42751
2019-05-30,大通（東西線）,21599
2019-05-30,大通（東豊線）,15564
2019-05-30,すすきの,14791
2019-05-31,さっぽろ（南北線）,60551
2019-05-31,さっぽろ（東豊線）,33523
2019-05-31,大通（南北線）,46385
2019-05-31,大通（東西線）,22222
2019-05-31,大通（東豊線）,15552
2019-05-31,すすきの,17495
2023-09-01,さっぽろ（南北線）,54466
2023-09-01,さっぽろ（東豊線）,26543
2023-09-01,大通（南北線）,43478
2023-09-01,大通（東西線）,20976
2023-09-01,大通（東豊線）,14276
2023-09-01,すすきの,15795
2023-09-02,さっぽろ（南北線）,43174
2023-09-02,さっぽろ（東豊線）,21337
2023-09-02,大通（南北線）,37689
2023-09-02,大通（東西線）,14079
2023-09-02,大通（東豊線）,11334
2023-09-02,すすきの,16969
2023-09-03,さっぽろ（南北線）,33243
2023-09-03,さっぽろ（東豊線）,15064
2023-09-03,大通（南北線）,29154
2023-09-03,大通（東西線）,11095
2023-09-03,大通（東豊線）,8192
2023-09-03,すすきの,13375
2023-09-04,さっぽろ（南北線）,47457
2023-09-04,さっぽろ（東豊線）,24672
2023-09-04,大通（南北線）,38451
2023-09-04,大通（東西線）,18803
2023-09-04,大通（東豊線）,13420
2023-09-04,すすきの,13016
2023-09-05,さっぽろ（南北線）,47308
